name,link,description,image
"Национальный парк ""Ленские столбы""","https://lena-pillars.ru/","Ленские столбы представляют собой тянущийся на многие километры комплекс вертикально вытянутых скал, причудливо громоздящихся вдоль берега Лены, глубокой долиной, прорезающей Приленское плато.","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/%D0%9B%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B5_%D1%81%D1%82%D0%BE%D0%BB%D0%B1%D1%8B_2015_%28070%29.JPG/1200px-%D0%9B%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B5_%D1%81%D1%82%D0%BE%D0%BB%D0%B1%D1%8B_2015_%28070%29.JPG?20150805034328"
"Музей мамонта","https://www.s-vfu.ru/universitet/rukovodstvo-i-struktura/vspomogatelnye-podrazdeleniya/muzei/detail.php?SECTION_ID=162&ID=13263","Всемирно известный палеонтологический музей, где представлены прекрасно сохранившиеся останки мамонтов, шерстистых носорогов и других животных ледникового периода, обнаруженные в замерзшем состоянии в якутской тундре.","https://www.rgo.ru/sites/default/files/styles/head_image_article/public/node/34592/1395234.jpg"
"Этнографический комплекс ""Чочур Муран""","https://chochurmuran.ru/","Эколого—этнографический комплекс Чочур Муран построен в дань уважения русским первопроходцам Сибири.","https://travel-ykt.ru/wp-content/uploads/chochur_muran_6.jpg"
"Музей мамонта","https://www.s-vfu.ru/universitet/rukovodstvo-i-struktura/vspomogatelnye-podrazdeleniya/muzei/detail.php?SECTION_ID=162&ID=13263","Всемирно известный палеонтологический музей, где представлены прекрасно сохранившиеся останки мамонтов, шерстистых носорогов и других животных ледникового периода, обнаруженные в замерзшем состоянии в якутской тундре.","https://www.rgo.ru/sites/default/files/styles/head_image_article/public/node/34592/1395234.jpg"
"Этнографический комплекс ""Чочур Муран""","https://chochurmuran.ru/","Эколого—этнографический комплекс Чочур Муран построен в дань уважения русским первопроходцам Сибири и позволяет окунуться в быт и культуру народов Якутии.","https://travel-ykt.ru/wp-content/uploads/chochur_muran_6.jpg"
"Царство вечной мерзлоты","","Уникальный туристический комплекс, представляющий собой ледник внутри горы с ледяными скульптурами, тронным залом Деда Мороза и палеонтологическими экспонатами.","https://yakutsk.ru/upload/iblock/c32/c324c430e71649666f4ab4f169f4ea54.jpg"
"Сокровищница Республики Саха (Якутия)","","Выставка, демонстрирующая уникальную коллекцию алмазов, золотых самородков, платины и эксклюзивных ювелирных изделий, созданных якутскими мастерами.","https://api.culture.ru/uploads/7a57c5a0-8d54-52d3-ac0c-f377c8e9d501"
"Старый город","","Историко-архитектурный комплекс в центре Якутска, воссоздающий облик старинного якутского острога с его деревянными башнями, купеческими домами и торговыми рядами.","https://avatars.dzeninfra.ru/get-zen_doc/1718877/pub_5e0242137cccba00b14ac353_5e024225ddfef600b09228d1/scale_1200"
"Национальный парк ""Ленские столбы""","","Ленские столбы представляют собой тянущийся на многие километры комплекс вертикально вытянутых скал, причудливо громоздящихся вдоль берега Лены, глубокой долиной, прорезающей Приленское плато.","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/%D0%9B%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B5_%D1%81%D1%82%D0%BE%D0%BB%D0%B1%D1%8B_2015_%28070%29.JPG/1200px-%D0%9B%D0%B5%D0%BD%D1%81%D0%BA%D0%B8%D0%B5_%D1%81%D1%82%D0%BE%D0%BB%D0%B1%D1%8B_2015_%28070%29.JPG?20150805034328"
"Булгунняхтах","","Живописная местность на берегу реки Лены, известная своими песчаными дюнами (тукуланами) и уникальными природными ландшафтами. Популярное место для отдыха и туризма.","https://s13.stc.all.kpcdn.net/family/wp-content/uploads/2023/02/tukulany-960x540.jpg"
"Водопады Кюрюлюр","","Живописный каскад водопадов на реке Менда в Хангаласском улусе. Это популярное место для отдыха, где можно насладиться красотой якутской природы и освежиться в прохладной воде.","https://i.ytimg.com/vi/Q2m-5s6uY-M/maxresdefault.jpg"
